UDP; 3542519; 30; 30,000000; 250; 5000000; 226560000,000000; 1337655,174400;
UDP; 3827464; 30; 30,000000; 250; 5000000; 226560000,000000; 1445250,406400;
UDP; 3483937; 30; 30,000000; 250; 5000000; 226560000,000000; 1315534,611200;
TCP; 2344; 30; 30,564000; 250; 5000000; 226560000,000000; 868,761680;
TCP; 2311; 30; 30,904000; 250; 5000000; 226560000,000000; 847,107429;
TCP; 2329; 30; 30,940000; 250; 5000000; 226560000,000000; 852,712088;
UDP; 522822; 30; 30,000000; 250; 5000; 226560,000000; 197417,587200;
UDP; 525000; 30; 30,125000; 250; 5000; 226560,000000; 197417,427386;
UDP; 520000; 30; 30,152000; 250; 5000; 226560,000000; 195362,165031;
TCP; 2328; 30; 30,941000; 250; 5000; 226560,000000; 852,318412;
TCP; 2207; 30; 30,772000; 250; 5000; 226560,000000; 812,455999;
TCP; 2225; 30; 30,008000; 250; 5000; 226560,000000; 839,936017;
UDP; 12000; 30; 30,172000; 250; 100; 4531,200000; 4505,369216;
UDP; 12000; 30; 30,173000; 250; 100; 4531,200000; 4505,219899;
UDP; 12000; 30; 30,152000; 250; 100; 4531,200000; 4508,357655;
TCP; 2754; 30; 30,759000; 250; 100; 4531,200000; 1014,249878;
TCP; 2500; 30; 30,217000; 250; 100; 4531,200000; 937,220770;
TCP; 2857; 30; 30,941000; 250; 100; 4531,200000; 1045,993859;

