UDP; 7211; 30,000000; 10000, 2721,512844
UDP; 8812; 30,000000; 10000, 3325,637527
UDP; 11322; 30,000000; 10000, 4272,908316
TCP; 2344; 30,000000; 10000, 868,363922
TCP; 2311; 30,000000; 10000, 846,778626
TCP; 2329; 30,000000; 10000, 852,353956
UDP; 9889; 30,000000; 10000, 3731,598668
UDP; 11731; 30,000000; 10000, 4408,757481
UDP; 10436; 30,000000; 10000, 3919,728382
TCP; 2328; 30,000000; 10000, 851,795349
TCP; 2207; 30,000000; 10000, 811,928293
TCP; 2225; 30,000000; 10000, 839,656206
UDP; 10121; 30,000000; 10000, 3797,637893
UDP; 10126; 30,000000; 10000, 3799,388162
UDP; 9987; 30,000000; 10000, 3749,717808
TCP; 2754; 30,000000; 10000, 1013,755508
TCP; 2500; 30,000000; 10000, 936,724771
TCP; 2857; 30,000000; 10000, 1045,588344
