UDP; 3888882; 30,000000; 10000; 1468246,077056
UDP; 4175444; 29,000000; 10000; 1576805,334933
UDP; 3856967; 30,000000; 10000; 1456148,047859
UDP; 3487095; 29,000000; 10000; 1316858,757876
UDP; 3192701; 30,000000; 10000; 1205443,353265
UDP; 3670059; 30,000000; 10000; 1385675,710829
UDP; 3481408; 30,000000; 10000; 1314272,997101
TCP; 28327; 5,000000; 10000; 57270,793503
TCP; 28552; 5,000000; 10000; 57397,880390
TCP; 28312; 4,000000; 10000; 76507,236641
TCP; 29410; 5,000000; 10000; 57839,666667
TCP; 29220; 5,000000; 10000; 63765,008669
TCP; 28743; 5,000000; 10000; 60329,943302
UDP; 504977; 30,000000; 10000; 189938,554836
UDP; 490445; 30,000000; 10000; 184871,587914
UDP; 490329; 30,000000; 10000; 185123,547260
UDP; 502101; 29,000000; 10000; 189605,977999
UDP; 503483; 30,000000; 10000; 188606,330159
UDP; 496407; 30,000000; 10000; 187193,691611
TCP; 29017; 7,000000; 10000; 42816,800313
TCP; 29203; 7,000000; 10000; 44398,279962
TCP; 28872; 8,000000; 10000; 36769,197976
TCP; 29253; 8,000000; 10000; 37588,246824
TCP; 28605; 16,000000; 10000; 19365,173011
TCP; 28667; 16,000000; 10000; 19197,196500
TCP; 28989; 11,000000; 10000; 28441,658756
TCP; 7549; 1,000000; 10000; 54398,900763
TCP; 21856; 4,000000; 10000; 53717,675852
TCP; 7388; 2,000000; 10000; 35996,242581
UDP; 11872; 30,000000; 10000; 4475,259259
UDP; 11886; 30,000000; 10000; 4483,968563
UDP; 11893; 30,000000; 10000; 4487,207034
UDP; 11893; 30,000000; 10000; 4485,563642
UDP; 11886; 30,000000; 10000; 4482,177364
UDP; 11900; 30,000000; 10000; 4486,261981
TCP; 11400; 30,000000; 10000; 4287,347698
TCP; 11400; 30,000000; 10000; 4278,115683
TCP; 11100; 30,000000; 10000; 4166,361829
TCP; 11400; 30,000000; 10000; 4293,619709
TCP; 11100; 30,000000; 10000; 4180,907731
TCP; 11000; 30,000000; 10000; 4128,827038

